loincName	loincId	loincScale	outcome	hpoTermId	supplementalTermId	curation	comment
Bacteria identified in Blood by Culture	600-7	Nom	H	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
Bacteria identified in Blood by Culture	600-7	Nom	POS	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
Bacteria identified in Blood by Culture	600-7	Nom	NEG	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
Bacteria identified in Blood by Culture	600-7	Nom	N	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
Bacteria identified in Urine by Culture	630-4	Nom	H	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
Bacteria identified in Urine by Culture	630-4	Nom	POS	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
Bacteria identified in Urine by Culture	630-4	Nom	NEG	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
Bacteria identified in Urine by Culture	630-4	Nom	N	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
Anisocytosis [Presence] in Blood by Light microscopy	702-1	Ord	NEG	HP:0011273	.	HPO:nvasilevsky[2018-04-03];JGM:azhang[2018-10-17]	.
Anisocytosis [Presence] in Blood by Light microscopy	702-1	Ord	POS	HP:0011273	.	HPO:nvasilevsky[2018-04-03];JGM:azhang[2018-10-17]	.
Basophilic stippling [Presence] in Blood by Light microscopy	703-9	Ord	NEG	HP:0020081	.	HPO:nvasilevsky[2019-05-28]	.
Basophilic stippling [Presence] in Blood by Light microscopy	703-9	Ord	POS	HP:0020081	.	HPO:nvasilevsky[2019-05-28]	.
Basophils [#/volume] in Blood by Automated count	704-7	Qn	L	HP:0031808	.	HPO:probinson[2018-06-28]	.
Basophils [#/volume] in Blood by Automated count	704-7	Qn	N	HP:0031806	.	HPO:probinson[2018-06-28]	.
Basophils [#/volume] in Blood by Automated count	704-7	Qn	H	HP:0031807	.	HPO:probinson[2018-06-28]	.
Basophils [#/volume] in Blood by Manual count	705-4	Qn	L	HP:0031808	.	HPO:probinson[2018-06-28]	.
Basophils [#/volume] in Blood by Manual count	705-4	Qn	N	HP:0031806	.	HPO:probinson[2018-06-28]	.
Basophils [#/volume] in Blood by Manual count	705-4	Qn	H	HP:0031807	.	HPO:probinson[2018-06-28]	.
Basophils/100 leukocytes in Blood by Automated count	706-2	Qn	L	HP:0031808	.	JGM:azhang[2018-09-25]	.
Basophils/100 leukocytes in Blood by Automated count	706-2	Qn	N	HP:0031806	.	JGM:azhang[2018-09-25]	.
Basophils/100 leukocytes in Blood by Automated count	706-2	Qn	H	HP:0031807	.	JGM:azhang[2018-09-25]	.
Basophils/100 leukocytes in Blood by Manual count	707-0	Qn	L	HP:0031808	.	JGM:lccarmody[2018-09-14]	.
Basophils/100 leukocytes in Blood by Manual count	707-0	Qn	N	HP:0031806	.	JGM:lccarmody[2018-09-14]	.
Basophils/100 leukocytes in Blood by Manual count	707-0	Qn	H	HP:0031807	.	JGM:lccarmody[2018-09-14]	.
Blasts [#/volume] in Blood by Manual count	708-8	Qn	N	HP:0011893	.	HPO:nvasilevsky[2019-07-02]	.
Blasts [#/volume] in Blood by Manual count	708-8	Qn	H	HP:0032372	.	HPO:nvasilevsky[2019-07-02]	.
Blasts/100 leukocytes in Blood by Manual count	709-6	Qn	N	HP:0032372	.	JGM:azhang[2019-05-03]	.
Blasts/100 leukocytes in Blood by Manual count	709-6	Qn	H	HP:0032372	.	JGM:azhang[2019-05-03]	.
Eosinophils [#/volume] in Blood by Automated count	711-2	Qn	N	HP:0001879	.	JGM:Aaron[2018-03-27]	.
Eosinophils [#/volume] in Blood by Automated count	711-2	Qn	H	HP:0001880	.	JGM:Aaron[2018-03-27]	.
Eosinophils [#/volume] in Blood by Manual count	712-0	Qn	N	HP:0001879	.	JGM:Aaron[2018-03-27]	.
Eosinophils [#/volume] in Blood by Manual count	712-0	Qn	H	HP:0001880	.	JGM:Aaron[2018-03-27]	.
Eosinophils/100 leukocytes in Blood by Automated count	713-8	Qn	L	HP:0031891	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
